Area,Frontage,Access Road,House direction,Balcony direction,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price
88.6,,,5,5,3.0,3.0,4.0,0,2,9.5
24.0,4.0,3.0,5,5,4.0,2.0,3.0,0,1,4.28
40.0,4.0,,5,5,,,,0,0,7.0
52.0,5.0,,5,5,4.0,3.0,,2,2,4.2
92.0,5.0,6.0,4,5,3.0,4.0,4.0,0,2,6.95
90.0,6.0,30.0,8,8,3.0,4.0,4.0,0,2,5.95
102.6,7.0,3.0,6,6,1.0,2.0,2.0,0,1,5.6
150.0,7.5,5.5,4,5,3.0,4.0,4.0,0,1,5.0
62.0,4.3,,5,5,5.0,5.0,,0,1,8.9
180.0,,,5,5,,,,0,2,10.0
198.5,9.0,10.0,8,8,2.0,4.0,3.0,0,1,8.0
150.0,10.0,,5,5,5.0,,,0,2,10.0
31.0,,,5,5,3.0,3.0,3.0,0,1,2.48
60.0,4.0,8.0,3,5,3.0,4.0,5.0,0,2,7.45
56.0,6.0,,5,5,4.0,4.0,4.0,0,1,7.15
54.0,4.85,2.0,5,5,2.0,3.0,2.0,0,0,7.5
30.0,3.25,,5,5,5.0,3.0,4.0,0,2,4.25
78.5,,,3,5,4.0,,,2,2,4.9
75.0,5.0,12.0,1,1,3.0,4.0,4.0,0,2,4.25
108.0,,,5,5,,,,0,2,7.7
59.0,5.0,5.0,5,5,3.0,9.0,9.0,0,0,6.0
100.0,,,5,5,,,,0,1,7.0
400.0,,,5,5,2.0,2.0,,2,1,8.0
58.0,4.0,4.0,5,5,,5.0,5.0,0,1,6.2
32.0,,,5,5,5.0,3.0,,0,1,5.5
30.0,3.8,2.0,2,2,5.0,3.0,3.0,0,2,4.6
40.0,,,5,5,1.0,2.0,2.0,0,2,1.3
37.0,,,5,5,5.0,3.0,4.0,0,1,7.3
75.0,6.0,,8,5,5.0,,,1,2,10.0
60.0,4.0,13.0,3,3,5.0,7.0,4.0,0,0,8.6
100.0,36.0,36.0,8,8,3.0,4.0,2.0,0,2,5.0
127.0,4.5,,5,5,2.0,3.0,2.0,0,1,8.45
48.0,4.0,,5,5,3.0,4.0,3.0,0,1,5.0
90.8,6.0,16.0,7,7,4.0,5.0,6.0,0,1,8.5
39.0,4.5,50.0,5,5,6.0,3.0,4.0,0,0,7.5
54.0,,,5,5,2.0,,,2,2,4.1
40.0,3.4,,5,5,4.0,4.0,5.0,2,2,8.15
35.0,3.6,4.0,5,5,3.0,3.0,2.0,0,1,3.75
80.0,4.0,3.5,5,5,2.0,2.0,,0,2,2.5
98.7,6.0,3.0,8,8,2.0,7.0,4.0,0,0,5.2
70.0,5.0,11.5,5,5,4.0,,,2,2,5.6
75.0,5.0,30.0,5,5,2.0,3.0,2.0,0,1,1.68
105.0,6.0,13.0,8,8,,,,0,2,9.8
54.0,3.8,4.0,2,2,2.0,2.0,2.0,0,1,5.65
36.0,4.0,5.0,7,4,3.0,3.0,3.0,0,1,3.0
70.0,5.0,,5,5,5.0,7.0,8.0,0,2,6.9
60.0,,,5,5,3.0,4.0,4.0,2,2,3.7
32.0,,12.0,5,5,5.0,5.0,5.0,0,0,9.5
60.0,4.0,5.0,8,5,3.0,4.0,3.0,0,1,5.2
33.0,3.3,2.0,8,5,5.0,3.0,3.0,0,1,7.5
49.5,4.5,4.3,4,5,3.0,2.0,2.0,0,1,4.15
33.0,4.5,2.5,5,5,5.0,3.0,4.0,0,2,3.65
105.0,7.0,15.0,6,6,4.0,6.0,4.0,0,0,6.7
60.0,5.0,7.5,1,1,4.0,,,0,2,3.16
83.0,5.0,20.5,7,7,4.0,,,0,2,6.0
151.0,,,5,5,2.0,2.0,3.0,0,0,5.7
68.0,4.5,,5,5,3.0,4.0,4.0,0,2,6.7
41.5,6.0,,5,5,5.0,,,2,2,4.9
56.0,4.0,13.0,3,3,5.0,7.0,4.0,2,0,7.5
66.0,6.0,8.0,5,5,,5.0,4.0,0,1,9.9
